file,categories,category,caption,footer,footer_en
7326.webp,arquitectura|ciudad|noche|paisaje urbano,arquitectura,"Vista nocturna de una calle con una escalinata que asciende entre casas y vegetación. Faroles de luz amarilla iluminan el camino y las fachadas de las construcciones, creando un ambiente cálido y tranquilo. La escena muestra un área urbana con edificios antiguos y cables eléctricos a la vista, rodeada de abundante follaje verde.",Escalinata iluminada en una noche tranquila en la ciudad.,Stairway lit up on a quiet night in the city.
7347.webp,arquitectura|arte urbano|graffiti|ciudad,arquitectura,"Imagen de una casa donde las paredes exteriores están pintadas con murales y graffiti que representan rostros y figuras estilizadas en colores vivos como morado, azul y verde. La fachada está parcialmente cubierta por rejas blancas y alambres de púas, y el cielo está despejado. Se aprecian sombras generadas por la luz del sol y un ambiente urbano.",Casa con murales y grafitis coloridos en la fachada en un día soleado.,House with colorful murals and graffiti on the facade on a sunny day.
7356.webp,animal|urban|arquitectura|gato|tejados,animal,"La imagen muestra un gato de pelaje manchado caminando sobre un techo de láminas metálicas en un área urbana. Se observa que las casas están construidas con materiales mixtos, incluyendo paredes de adobe o cemento y techos de metal oxidado y pintado de rojo. Hay estructuras improvisadas y plantas creciendo en primer plano.",Un gato caminando por el techo en un barrio con casas de construcción sencilla.,A cat walking on a rooftop in a neighborhood with simple construction houses.
7361.webp,arquitectura|callejón|arte urbano|ciudad,arquitectura,Vista de un callejón urbano con muros decorados con grafitis y murales a ambos lados. La calle empedrada está en ligera pendiente y se observa una persona al fondo junto a una casa amarilla con ventanas azules. Hay postes y cables eléctricos visibles sobre la calle bajo un cielo despejado.,Callejón con murales y casas coloridas en un día soleado.,Alley with murals and colorful houses on a sunny day.
7411.webp,ciudad|arquitectura|calle|arte urbano|animales|cartel|escaleras,ciudad,"Una escalera urbana pintada con diferentes colores y grafitis, ubicada entre edificios antiguos con muros también decorados con arte callejero. Al frente, un perro color marrón claro camina por el empedrado. En la parte derecha hay un poste con un cartel que invita a respetar el trabajo de quienes limpian el barrio, indicando horarios para sacar la basura. La imagen muestra una escena cotidiana en un barrio con presencia de arte urbano y vida animal.","Escaleras pintadas con grafitis en un barrio con un cartel que pide cuidar la basura, y un perro en primer plano.","Colorful painted stairs in a neighborhood with a sign asking to take care of the trash, and a dog in the foreground."
7413.webp,ciudad|arquitectura|arte urbano|paisaje urbano,ciudad,"Imagen de una calle empedrada en Valparaíso con edificios antiguos donde destacan murales artísticos y grafitis en sus muros. En una de las fachadas hay una pintura de estilo cómic con un hombre y una mujer, además de un bocadillo de texto. También se observa una bandera chilena colgada en una ventana y un cartel de señalización vial prohibiendo girar. La escena está iluminada por luz natural y tiene árboles al fondo.",Calle en Valparaíso con murales y grafitis en las paredes.,Street in Valparaíso with murals and graffiti on the walls.
7423.webp,ciudad|arquitectura|callejón|arte urbano|animales,ciudad,"Escalera urbana pintada con colores brillantes y variados en un callejón estrecho. A los lados se observan paredes con grafitis y murales artísticos. Arriba, se pueden ver cables eléctricos colgando y barandas metálicas a lo largo de las escaleras. En el centro de las escaleras, un gato se encuentra sentado descansando. El entorno muestra un espacio típico de una zona urbana con fuerte influencia cultural y artística.",Escalera colorida en un barrio con grafitis y un gato descansando.,Colorful staircase in a neighborhood with graffiti and a cat resting.
7429.webp,ciudad|personas|calle,ciudad,"La imagen muestra a una pareja mayor caminando de espaldas por una acera en una calle urbana. A su alrededor hay edificios de varios pisos y algunos cables eléctricos visibles. La calle está relativamente tranquila, con pocas personas y algunos vehículos al fondo. La mujer lleva un bolso con diseño de hojas verdes mientras ambos están vestidos con ropa casual.",Pareja mayor caminando por una calle de la ciudad.,Elderly couple walking down a city street.
7437.webp,ciudad|arquitectura|personas,ciudad,"La imagen muestra a un hombre parado en una acera frente a un edificio del Banco de Chile, con números 698 visibles en la fachada. El hombre sostiene una cámara para tomar fotografías. Al fondo se observa otro edificio antiguo de estilo arquitectónico europeo, un poste con cables eléctricos y una bandera ondeando, posiblemente chilena. También se puede ver a un perro caminando por la calle y algunas personas y autos a lo lejos. La escena parece ser una mañana soleada en una zona urbana.",Un hombre toma fotos frente al Banco de Chile en una calle de la ciudad.,A man takes photos in front of Banco de Chile on a city street.
7439.webp,transporte|ciudad|arquitectura,transporte,"La imagen muestra un trolebús número 279, línea 802 con destino Colón, detenido frente a un edificio de arquitectura clásica en una calle urbana. Se observan detalles como las barras de conexión eléctrica del trolebús, una persona apoyada en una ventana y banderas chilenas visibles en la parte superior del vehículo. La escena está iluminada con luz natural que destaca los colores verde y beige del trolebús y las paredes del edificio.",Trolebús 802 en la calle transitada de la ciudad con fachadas antiguas y bandera chilena.,Trolleybus 802 on a busy city street with old facades and Chilean flag.
